When Rated,Beer,Score,Comment
5/26/2009,Titanic Brewing Whitecap Wheat,7,
5/26/2009,Stone Smoked Porter,6,
5/26/2009,Indian River Amberjack,5,
5/26/2009,Titanic Brewing White Star India Pale Ale,5,
5/26/2009,Titanic Brewing Boiler Room Nut Brown Ale,4,
5/26/2009,Titanic Brewing Shipbuilders Oatmeal Stout,4,
5/26/2009,Titanic Brewing Britannic Best Bitter,3,
5/26/2009,Titanic Brewing Triple Screw Light Ale,3,
5/28/2009,Full Sail Pale Ale,6,
5/28/2009,Otter Creek Copper Ale,6,
5/28/2009,Whole Foods Old Plowshare Stout,5,
5/29/2009,Avery The Beast Grand Cru Ale,6,
5/30/2009,Heavy Seas Loose Cannon Hop3,9,
5/30/2009,Oskar Blues Old Chub,4,
5/30/2009,St. John Brewers Virgin Islands Tropical Mango Pale Ale,3,
5/31/2009,Stone Ruination IPA,7,
6/1/2009,Blue Point Toasted Lager,5,
6/3/2009,Penn Dark Lager Beer,6,
6/4/2009,Terrapin Wake-n-Bake Coffee Oatmeal Imperial Stout,8,
6/5/2009,Terrapin Rye Pale Ale,7,
6/5/2009,Greens Discovery,6,
6/5/2009,Great Divide St. Bridgets Porter (St. Brigids),5,
6/5/2009,Cave Creek Chili Beer,1,
6/6/2009,St. Bernardus Pater 6,8,
6/7/2009,Dogfish Head 60 Minute IPA,9,
6/7/2009,Bush AmbrÈe (Scaldis),6,
6/7/2009,Mendocino Red Tail Ale,4,
6/8/2009,Schloss Eggenberg Doppelbock Dunkel,7,
6/9/2009,Rogue Double Dead Guy Ale,7,
6/9/2009,Arrogant Bastard Ale,6,
6/14/2009,Capitol City Belgian Saison,6,
6/14/2009,Capitol City Nut Brown Ale,6,
6/15/2009,Hitachino Nest Japanese Classic Ale,7,
6/15/2009,Hitachino Nest Weizen,5,
6/19/2009,Ziegen Bock Amber,5,
6/21/2009,Avery Redpoint Ale,6,
6/21/2009,Mad River Steelhead Scotch Porter,5,
6/22/2009,Affligem Blonde,8,
6/23/2009,Tusker Lager,6,
6/24/2009,Prestige Lager,5,
6/24/2009,Dogfish Head 120 Minute IPA,4,
6/25/2009,Corsendonk Pater (Abbey Brown Ale),7,
6/25/2009,Iron City Beer,7,
6/25/2009,Holy Mackerel Mack in Black,5,
6/28/2009,Uinta Anglers Pale Ale,8,
6/28/2009,Innis & Gunn Oak Aged Beer,7,
6/28/2009,Blue Point Rastafa Rye Ale,6,
6/28/2009,Victory Wild Devil Ale,6,
6/28/2009,Lion Stout,4,
6/28/2009,Victory Abbey 6,4,
7/3/2009,Hacker-Pschorr Oktoberfest M‰rzen,7,
7/8/2009,Chang Beer,6,
7/9/2009,Cathedral Square Belgian-Style White Ale,8,
7/9/2009,Wychwood Hobgoblin (Cask),8,
7/9/2009,Augusta Farmhouse Saison,7,
7/9/2009,Gruhlke's Kirly's Chubby Stout,7,
7/9/2009,St Peters G-Free,7,
7/9/2009,Buckner Mocha Stout,6,
7/9/2009,Cathedral Square Belgian-Style Abbey Ale,6,
7/9/2009,St Peters Old Style Porter,6,
7/9/2009,Dundee Eddie's Brown,5,
7/9/2009,Gruhlke's Kirly's Cream Ale,4,
7/9/2009,Gruhlke's Missouri Wheat,3,
7/9/2009,Tommyknocker Jack Whacker Wheat Ale,3,
7/9/2009,Gruhlke's I'll Be Bock,1,
7/10/2009,Tommyknocker Pick Axe Pale Ale,7,
7/10/2009,Avery 14er ESB,5,
7/10/2009,Gordon Biersch SommerBrau,3,
7/11/2009,Avery White Rascal,6,
7/11/2009,Great Divide Hercules Double IPA,6,
7/11/2009,Lost Coast Indica India Pale Ale,6,
7/11/2009,Banks Beer (Barbados),5,
7/18/2009,Brooklyn Summer Ale,6,
7/24/2009,Blue Point Hoptical Illusion,4,
7/28/2009,Long Trail Brewmaster Series Double IPA,5,
8/2/2009,River Horse Tripel Horse,8,
8/2/2009,Stone Levitation Ale,8,
8/2/2009,Flying Fish Exit 11,7,
8/2/2009,Tr?egs Nugget Nectar Ale,6,
8/2/2009,Victory Golden Monkey,6,
8/2/2009,Arcadia Whitsun,2,
8/13/2009,Victory Baltic Thunder,6,
8/16/2009,Almaza Pilsener,8,
8/16/2009,Birra Moretti,7,
8/16/2009,Genesee Cream Ale,6,
8/30/2009,Dogfish Head Sahtea,8,
8/30/2009,Goose Island Summertime,5,
9/4/2009,Guinness 250 Anniversary Stout,7,
9/19/2009,Carib Royal Extra Stout,8,
9/19/2009,Dogfish Head Palo Santo Marron,7,
9/19/2009,Capitol City Double Amber,6,
9/19/2009,Saranac Black Forest,6,
9/30/2009,Southern Tier Pumking,7,
9/30/2009,Samuel Smiths Organic Raspberry Fruit Beer,6,
10/7/2009,River Horse Special Ale,6,
10/11/2009,Goose Island Matilda,9,
10/11/2009,Gaffel K?lsch,8,
10/11/2009,Uinta Organic Punkn,8,
10/11/2009,Great Divide Titan IPA,7,
10/11/2009,Ramstein Double Platinum Blonde,7,
10/11/2009,Lagunitas A Little Sumpin' Extra! Ale,6,
10/11/2009,Sixpoint Sweet Action,6,
10/11/2009,Beck's Oktoberfest,5,
10/11/2009,Goose Island Pere Jacques,5,
10/11/2009,Smuttynose Pumpkin Ale,5,
10/11/2009,1809 Berliner Style Weisse,4,
10/11/2009,Ithaca Apricot Wheat,4,
11/25/2009,Tr?egs The Mad Elf Holiday Ale,8,
11/25/2009,Victory Moonglow Weizenbock,8,
11/25/2009,Butternuts Moo Thunder,7,
11/25/2009,Dogfish Head Chicory Stout,6,
11/25/2009,Long Trail Hibernator,6,
11/25/2009,Butternuts Heinnieweisse,4,
11/25/2009,Butternuts Snapperhead IPA,4,
11/25/2009,Bud Light Golden Wheat,2,
11/28/2009,Brooklyner Weisse,9,
11/28/2009,Wolavers Organic Alta Gracia Coffee Porter,9,
11/28/2009,Anchor Our Special Ale (2001 and earlier),8,
11/28/2009,Cape Ann Fishermans Ale,6,
11/28/2009,Sixpoint Righteous Ale,6,
11/28/2009,Anderson Valley Brother Davids Double,4,
11/28/2009,Shipyard Prelude Ale,4,
12/11/2009,Carlow O'Haras Celtic Stout,8,
12/11/2009,McSorleys Irish Black Lager,8,
12/11/2009,McSorleys Ale,7,
12/11/2009,Southern Tier Choklat,7,
1/5/2010,Pups Pommeau de Normandie,9,
1/5/2010,Brooklyn Blast,8,
1/5/2010,Shawnee Craft Traditional Brown Porter,8,
1/5/2010,Chelsea The Tsars Revenge Imperial Stout,7,
1/5/2010,Erie Brewing Railbender Ale,7,
1/5/2010,Green Flash Hop Head Red,7,
1/5/2010,Goose Island Mild Winter,6,
1/5/2010,Nova Paka Gran·t,6,
1/5/2010,Allagash Tripel Reserve,5,
1/5/2010,Brooklyn Black Chocolate Stout,5,
1/5/2010,Harpoon Chocolate Stout,5,
1/5/2010,Southern Tier Krampus,5,
1/9/2010,Oskar Blues G'Knight (Gordon),7,
1/9/2010,Maredsous 10 Tripel,6,
1/9/2010,Starr Hill The Love,6,
1/13/2010,Aecht Schlenkerla Rauchbier Urbock,8,
1/31/2010,Otter Creek Quercus Vitis Humulus,7,
1/31/2010,Captain Lawrence Double IPA,6,
2/6/2010,Broughton Old Jock Ale (Bottle),6,
2/13/2010,Otter Creek Imperial India Pale Ale,7,
2/24/2010,Goose Island Sofie,8,
2/24/2010,New Holland Full Circle,7,
2/24/2010,WinterCoat India Gold IPA,7,
2/24/2010,Yards Brawler,7,
2/24/2010,Founders Reds Rye P.A.,6,
2/24/2010,Samuel Adams Noble Pils,6,
2/24/2010,Victory Harvest Ale,6,
2/24/2010,River Horse Belgian Freeze Winter Ale,4,
2/24/2010,Rogue Yellow Snow IPA,4,
2/28/2010,Great Divide Oak Aged Yeti Imperial Stout,9,
2/28/2010,Dieu du Ciel PÈchÈ Mortel,8,
3/7/2010,Glazen Toren Saison dErpe-Mere Speciaal Eindejaar,9,
3/7/2010,Stone Old Guardian (Vintages 2004 and later),8,
3/18/2010,Saranac Irish Red Ale,6,
3/18/2010,Samuel Adams Coastal Wheat,3,
4/3/2010,Two Brothers The Bitter End Pale Ale,7,
4/3/2010,White Horse Village Idiot,6,
4/3/2010,Brooklyn Dark Matter,5,
4/3/2010,New Holland Dragons Milk,5,
4/3/2010,Tooheys New,5,
4/10/2010,Zywiec Jasne Pelne (Beer),5,
4/14/2010,Flying Dog Raging Bitch,8,
4/14/2010,Peak Organic Espresso Amber Ale,7,
4/14/2010,Rebel Zlat˝,6,
4/14/2010,Kirkland Signature Pale Ale,4,
4/14/2010,Ace Joker Dry Hard Cider,3,
5/2/2010,Heartland Farmer Jons Oatmeal Stout,8,
5/2/2010,Heartland Imperial IPA,8,
5/2/2010,Heartland Wildflower Wheat,8,
5/2/2010,Heartland Empire State Premium,7,
5/2/2010,Heartland Indian River Light Ale,7,
5/2/2010,Heartland Indiana Pale Ale,7,
5/2/2010,Southampton Double White Ale,7,
5/2/2010,Heartland Red Rooster Ale,6,
5/2/2010,Heartland Harvest Wheat,5,
5/2/2010,Victory Donnybrook Stout,5,
5/2/2010,Heartland Cornhusker Lager,4,
5/22/2010,Hofbr‰u M¸nchen Original,6,
5/27/2010,Hofbr‰uhaus Traunstein Weiﬂbier,9,
5/27/2010,Hofbr‰uhaus Traunstein Dunkel,8,
5/27/2010,Spaten Maibock,7,
5/27/2010,Kira Wit,6,
5/27/2010,Long Ireland Celtic Ale,6,
5/27/2010,Schneider Georg Schneiders Wiesen Edel-Weisse,6,
5/27/2010,Stone Sublimely Self Righteous Ale,6,
6/5/2010,Southampton Bohemian Pilsner,7,
6/19/2010,Peak Organic Pale Ale,10,
6/19/2010,21st Amendment Hell or High Watermelon Wheat,8,
6/19/2010,Nebraska Brewing Company Reserve Series Melange a Trois,8,
6/19/2010,Peak Organic Summer Session Ale,8,
6/19/2010,Ithaca Ground Break Saison,7,
6/19/2010,Lake Placid Ubu Ale,7,
6/19/2010,Nebraska Brewing Company Cardinal Pale Ale,7,
6/19/2010,Peak Organic IPA,7,
6/19/2010,Speakeasy Hunters Point Porter Bourbon Barrel Aged,7,
6/19/2010,Strangford Lough St. Patricks Best,7,
6/19/2010,Ithaca Excelsior! alpHalpHa,6,
6/19/2010,Middle Ages Swallow Wit,6,
6/19/2010,Sierra Nevada 30th Anniversary Fritz & Kens Ale,6,
6/19/2010,The Peekskill Brewery's Hop Common,6,
6/19/2010,Thomas Hooker Watermelon Ale,6,
6/19/2010,Two Brothers Domaine DuPage,6,
6/19/2010,Cape Ann Fishermans Brew,5,
6/19/2010,Defiant Muddy Creek Lager,5,
6/19/2010,Cape Ann Fishermans Bavarian Wheat Ale,4,
6/19/2010,Heartland Sumatra Porter,3,
6/28/2010,BorÈale Noire,9,
6/28/2010,RÈservoir India Pale Ale,9,
6/28/2010,Unibroue Raftman,9,
6/28/2010,Benelux GaÔa,8,
6/28/2010,Benelux Lux Blonde (Ale Blonde),8,
6/28/2010,Benelux Yakima (Pale Ale AmÈricaine),8,
6/28/2010,LAmËre ‡ Boire Imperial Stout,8,
6/28/2010,Benelux Cream Ale aux Abricots,7,
6/28/2010,Benelux Cuda (IPA AmÈricaine),7,
6/28/2010,Benelux Ganzfeld,7,
6/28/2010,Dieu du Ciel Aphrodisiaque,7,
6/28/2010,Dieu du Ciel Basse Messe,7,
6/28/2010,Dieu du Ciel Cascade Blanche,7,
6/28/2010,Dieu du Ciel Fumisterie,7,
6/28/2010,Dieu du Ciel PaÔenne,7,
6/28/2010,L AmbrÈe des 3 Brasseurs,7,
6/28/2010,Micro de Bromont Chanvre Rouge,7,
6/28/2010,RÈservoir Cream Ale,7,
6/28/2010,RÈservoir Munich,7,
6/28/2010,Benelux Zoot Triple,6,
6/28/2010,BorÈale Rousse,6,
6/28/2010,Dieu du Ciel CharbonniËre,6,
6/28/2010,Dieu du Ciel Solstice d'…tÈ aux Framboises,6,
6/28/2010,F¸rstenberg Hefeweizen Dunkel,6,
6/28/2010,LAmËre ‡† Boire Cerna Hora,6,
6/28/2010,LAmËre ‡† Boire Drak,6,
6/28/2010,LAmËre ‡† Boire Fin de SiËcle,6,
6/28/2010,LAmËre ‡† Boire Odense Porter,6,
6/28/2010,La Blonde des 3 Brasseurs,6,
6/28/2010,RÈservoir Blanche,6,
6/28/2010,RÈservoir Noire ‡† l'Avoine,6,
6/28/2010,RÈservoir Pilsner,6,
6/28/2010,Benelux Novis,5,
6/28/2010,Benelux Strato,5,
6/28/2010,Dieu du Ciel DÈesse Nocturne,5,
6/28/2010,Dieu du Ciel PÈnombre,5,
6/28/2010,Dieu du Ciel Revenante,5,
6/28/2010,Dieu du Ciel Rigor Mortis Blonde,5,
6/28/2010,Dieu du Ciel Vaisseau des Songes,5,
6/28/2010,Koulu Boris Orlo Pilsener,5,
6/28/2010,LAmËre ‡† Boire Elephant 10∞,5,
6/28/2010,LAmËre ‡† Boire Hefeweizen Naturtrub,5,
6/28/2010,LAmËre ‡† Boire M¸esli,5,
6/28/2010,La Scotch des 3 Brasseurs (Brune),5,
6/28/2010,Benelux Eponyme,4,
6/28/2010,BorÈale Blonde,4,
6/28/2010,Dieu du Ciel Caserne 30,4,
6/28/2010,Dieu du Ciel GaÈlique,4,
6/28/2010,Dieu du Ciel Route des …pices,4,
6/28/2010,La Blanche de Lille,4,
6/28/2010,Alexander Keiths India Pale Ale,2,
7/19/2010,Brooklyn Black Ops,7,
7/19/2010,Frankenheim Alt,7,
7/19/2010,Gayant BiËre du DÈmon,7,
7/19/2010,Duvel Groen,6,
7/19/2010,Kronenbourg,6,
7/19/2010,Newcastle Summer Ale,5,
7/19/2010,Amsterdam Navigator,4,
7/19/2010,EKU 28,4,
7/19/2010,Amsterdam Maximator,3,
7/24/2010,Dogfish Head Theobroma,9,
7/24/2010,Birra del Borgo My Antonia,8,
7/24/2010,Dogfish Head Raison D Etre,8,
7/24/2010,Capitol City Belgian Pale Ale,7,
7/24/2010,Dogfish Head 75 Minute IPA (Cask/Bottle),7,
7/24/2010,Dogfish Head Lawnmower Light,7,
7/24/2010,Dogfish Head Shelter Pale Ale,7,
7/24/2010,Dogfish Head World Wide Stout 2001/2003-Present (18%),7,
8/20/2010,Bosteels Pauwel Kwak (Dark),8,
8/20/2010,Southern Tier Creme Brulee Stout,8,
8/20/2010,Tripel Karmeliet,8,
8/20/2010,Abita Jockamo IPA,7,
8/20/2010,Harpoon 100 Barrel Series #32 - Potts Landbier,7,
8/20/2010,Southern Tier Hop Sun,7,
9/2/2010,Ithaca Cascazilla,8,
9/2/2010,Ettaler Kloster Dunkel,3,
9/15/2010,Flying Fish Exit 16 WE,8,
9/15/2010,Lindemans Apple (Pomme),8,
9/15/2010,Sixpoint Belgian Rye-PA,8,
9/15/2010,Brooklyn Detonation Ale,7,
9/15/2010,Dogfish Head Victory Stone Saison Du BUFF,7,
9/15/2010,Fischer PÍcheur,6,
9/15/2010,Magic Hat Hex,6,
9/15/2010,Sierra Nevada Tumbler Autumn Brown Ale,6,
9/15/2010,"Capitol City Red, Wheat and Blue",5,
9/15/2010,Harpoon 100 Barrel Series #31 - Single Hop ESB,5,
9/15/2010,Sixpoint Otis,5,
9/15/2010,Chelsea Blackhole XXX Stout,4,
9/15/2010,Anker Bir,3,
9/19/2010,Hofbr‰uhaus Traunstein Export-Hell,8,
9/19/2010,Hofbr‰uhaus Traunstein Hofbr‰u Leicht,8,
9/19/2010,Dicks Silk Lady,7,
9/19/2010,Hofbr‰uhaus Traunstein 1612er Zwickelbier,7,
9/19/2010,Lagunitas A Little Sumpin' Wild Ale,7,
9/19/2010,Rochefort Trappistes 10,7,
9/19/2010,Kuhnhennn White Devil,6,
9/19/2010,Meantime Coffee Porter,6,
9/27/2010,Flying Fish Exit 6,8,
9/27/2010,New Belgium Ranger IPA,8,
9/27/2010,Founders Nemesis 2010,7,
9/27/2010,Southern Tier Phin & Matts Extraordinary Ale,7,
9/27/2010,Bayerischer Bahnhof Original Leipziger Gose,6,
9/27/2010,New Belgium Hoptober Golden Ale,6,
10/21/2010,Southampton Octoberfest Lager,8,
10/21/2010,Stone Dogfish Head Victory Saison Du BUFF,8,
10/21/2010,Chelsea Pier 59 Pale Ale,7,
10/21/2010,Chelsea Sunset Red Ale,7,
10/21/2010,Cigar City Tocobaga Red Ale,7,
10/21/2010,Long Trail Brewmaster Series Imperial Porter,7,
10/21/2010,Cigar City Jai Alai India Pale Ale,6,
10/21/2010,Southampton Espresso Stout,5,
10/21/2010,Southampton Pumpkin Ale,5,
10/21/2010,Widmer Brothers Drifter Pale Ale,5,
10/21/2010,Schaefer,4,
10/21/2010,Ommegang Zuur,1,
10/21/2010,Southampton Imperial Russian Stout,1,
10/22/2010,Jolly Pumpkin Oro de Calabaza,6,
10/23/2010,Stone 10.10.10 Vertical Epic Ale,8,
10/29/2010,Southern Tier CuvÈe Series 2,8,
10/29/2010,Ballast Point Sculpin IPA,7,
11/1/2010,Ommegang Belgian-style Pale Ale (BPA),7,
11/1/2010,Harpoon Munich Dark,6,
11/1/2010,Lancaster Hop Hog IPA,6,
11/1/2010,Speakeasy Prohibition Ale,6,
11/2/2010,Belfast Bay McGoverns Oatmeal Stout,7,
11/2/2010,Greenport Harbor Black Duck Porter,7,
11/2/2010,Saranac Pumpkin Ale,7,
11/2/2010,Buffalo Bills America's Original Pumpkin Ale,6,
11/2/2010,Fire Island Red Wagon IPA,6,
11/6/2010,Cricket Hill Fall Festivus,7,
11/6/2010,Flying Fish OktoberFish,7,
11/6/2010,Left Hand Oktoberfest,7,
11/6/2010,River Horse Hipp-O-Lantern Imperial Pumpkin Ale,7,
11/6/2010,Yards Extra Special Ale,7,
11/6/2010,Yards Thomas Jefferson Tavern Ale,6,
11/10/2010,Erie Brewing Mad Anthonys Pale Ale,7,
11/15/2010,Brooklyn Cuvee Noire,9,
11/15/2010,J.W. Lees Harvest Ale (Port),4,
11/21/2010,River Horse Hopalotamus,7,
11/21/2010,Sierra Nevada Estate Homegrown Ale,7,
11/30/2010,Mikkeller Santas Little Helper 2010,6,
11/30/2010,Wells Bombardier (Pasteurised),6,
11/30/2010,t Hofbrouwerijke Hofblues,6,
11/30/2010,Founders Backwoods Bastard,5,
11/30/2010,Phillips Amber Ale,5,
11/30/2010,Sweetwater IPA,5,
11/30/2010,Sweetwater Sch'Wheat,5,
12/27/2010,Boulder Beer Cold Hop,8,
12/27/2010,Southern Tier Harvest Ale,8,
12/27/2010,White Birch Tripel,8,
12/27/2010,Southern Tier Old Man Winter Ale,7,
12/27/2010,Boulder Beer Obovoid Oak-Aged Oatmeal Stout,6,
12/27/2010,Great Divide Rumble,6,
12/27/2010,White Birch Belgian Style Pale Ale,6,
12/27/2010,Captain Lawrence Espresso Stout,5,
12/27/2010,North Coast Old Stock Ale,5,
12/27/2010,Sixpoint Sehr Crisp Pilsner,4,
12/27/2010,Wells Banana Bread Beer (Bottle),4,
12/27/2010,Jolly Pumpkin Weizen Bam,3,
12/27/2010,Peak Organic Nut Brown Ale,1,
1/9/2011,Ithaca Cold Front,7,
1/9/2011,Pennichuck Saint Florian Doppelbock,7,
1/9/2011,Allagash Interlude,6,
1/9/2011,Brooklyn Brown Ale,6,
1/9/2011,Harpoon Winter Warmer,5,
1/18/2011,Mikkeller Single Hop Tomahawk IPA,7,
1/18/2011,Davidson Brothers Irish Red,6,
1/18/2011,Davidson Brothers Oatmeal Stout,6,
1/18/2011,Mikkeller Single Hop Amarillo IPA,6,
2/3/2011,Weyerbacher Quad,9,
2/3/2011,Boaks Monster Mash Imperial Stout,7,
2/3/2011,Left Hand Fade To Black Vol. 2,7,
2/3/2011,Long Trail Pale Ale,7,
2/3/2011,Weyerbacher Winter Ale,7,
2/3/2011,Yards General Washington Tavern Porter,7,
2/3/2011,Lancaster Winter Warmer,6,
2/3/2011,Magic Hat Vinyl,6,
2/3/2011,Spaten Premium Bock,6,
2/3/2011,Full Sail Session Premium Lager,4,
2/3/2011,Samuel Adams Imperial Series Imperial Stout,3,
2/25/2011,South Street Satans Pony Amber,8,
2/25/2011,Atwater Vanilla Java Porter,7,
2/25/2011,Fresh Beer Native 11 Brown,7,
2/25/2011,Sierra Nevada Glissade Golden Bock,7,
2/25/2011,South Street Absolution Ale,7,
2/25/2011,South Street Belgian Trippel,7,
2/25/2011,South Street Liberation Lager,7,
2/25/2011,Mission Street Pale Ale,6,
2/25/2011,South Street JP Ale,6,
2/25/2011,Swiss Beer Collection No /00/26,6,
2/25/2011,Mission Street Blonde Ale,5,
2/25/2011,South Street Porters Porter,4,
2/25/2011,South Street ESB,2,
2/26/2011,Left Hand Imperial Stout,7,
2/26/2011,Nebraska Brewing Company Infinite Wit,7,
2/26/2011,Nectar Ales Red Nectar,7,
2/26/2011,Chelsea Frostys Winter Wheat Wine,6,
2/26/2011,Defiant Baron Von Weizen,6,
2/26/2011,Otter Creek Stovepipe Porter,6,
2/26/2011,Tr?egs HopBack Amber Ale,6,
2/26/2011,Little Yeoman Pale Ale,5,
2/26/2011,Little Yeoman Porter,5,
2/26/2011,Rogue Mogul Madness,5,
2/26/2011,Cisco Grey Lady,4,
2/26/2011,Ridgeway Reindeers Revolt,3,
3/9/2011,Abita Andygator,7,
3/9/2011,Crescent City Pilsener,7,
3/9/2011,Crescent City Spring Bock,7,
3/9/2011,Heiner Brau K?lsch,7,
3/9/2011,Abita Strawberry Harvest Lager,6,
3/9/2011,Crescent City Black Forest,6,
3/9/2011,Crescent City Red Stallion,6,
3/9/2011,Abita Bock,5,
3/9/2011,Dixie Beer,5,
3/9/2011,Magic Hat Odd Notion - American Wheat IPA (Spring 10),5,
3/9/2011,Blue Moon Spring Blonde Wheat Ale,4,
3/9/2011,Crescent City Weiss,3,
3/25/2011,Ithaca Gorges Smoked Porter,9,
3/25/2011,Ithaca Nut Brown,7,
3/25/2011,Ithaca Excelsior! Thirteen,6,
3/25/2011,Ithaca Flower Power IPA,6,
3/25/2011,Ithaca Pale Ale,5,
3/25/2011,Breckenridge Oatmeal Stout,4,
3/29/2011,Franziskaner Hefe-Weissbier,8,
3/29/2011,Rochefort Trappistes 8,7,
3/29/2011,Schneider Aventinus,7,
3/29/2011,Sierra Nevada Pale Ale (Draft),7,
3/29/2011,Ayinger Celebrator Doppelbock,6,
3/29/2011,Guinness Original / Extra Stout (Ireland/UK),6,
3/29/2011,Peroni,6,
3/29/2011,Smuttynose Old Brown Dog,6,
3/29/2011,Victory HopDevil,6,
3/29/2011,Asahi Super Dry,5,
3/29/2011,Boddingtons Draught Bitter (Can),5,
3/29/2011,Coors Original,5,
3/29/2011,Dos Equis XX Special Lager,5,
3/29/2011,Kingfisher Lager,5,
3/29/2011,L?wenbr‰u Original,5,
3/29/2011,Modelo Especial,5,
3/29/2011,Negra Modelo,5,
3/29/2011,Samuel Adams Boston Ale,5,
3/29/2011,Warsteiner Premium Verum,5,
3/29/2011,Anchor Steam Beer,4,
3/29/2011,Bitburger Premium Pils,4,
3/29/2011,Blue Moon Harvest Moon Pumpkin Ale,4,
3/29/2011,Blue Moon Honey Moon Summer Ale,4,
3/29/2011,Coopers Original Pale Ale,4,
3/29/2011,Coopers Sparkling Ale,4,
3/29/2011,Dos Equis XX Ambar,4,
3/29/2011,Michelob AmberBock,4,
3/29/2011,Mickeys Fine Malt Liquor,4,
3/29/2011,Pacifico Clara,4,
3/29/2011,Samuel Adams Cream Stout,4,
3/29/2011,Samuel Adams Hefeweizen,4,
3/29/2011,Tecate,4,
3/29/2011,Widmer Brothers Hefeweizen,4,
3/29/2011,Amstel Lager,3,
3/29/2011,Amstel Light,3,
3/29/2011,Corona Light,3,
3/29/2011,Labatt Blue Light,3,
3/29/2011,Miller Genuine Draft Light (MGD Light),3,
3/29/2011,Colt 45 8 %,2,
3/29/2011,Heineken Premium Light,2,
3/29/2011,Leinenkugels Summer Shandy,2,
3/29/2011,Sol (Mexico),2,
3/29/2011,Busch Light,1,
3/29/2011,Icehouse,1,
3/29/2011,Keystone Ice,1,
3/29/2011,Milwaukees Best Light,1,
3/29/2011,Natural Ice,1,
3/29/2011,Olde English 800,1,
3/29/2011,Steel Reserve 211 High Gravity,1,
5/3/2011,De Molen Storm & Averij (Storm & Damage),8,
5/3/2011,Founders Devil Dancer Triple IPA,8,
5/3/2011,Menabrea 150∞ Anniversario Bionda,8,
5/3/2011,Victory Braumeister Pils,7,
5/3/2011,Blue Point Spring Fling,6,
5/3/2011,Carlsberg Lager,6,
5/3/2011,Greenport Havre Rouge,6,
5/3/2011,Pilsner Urquell,6,
5/3/2011,Breckenridge Lucky U IPA,5,
5/3/2011,Lagunitas Pils,5,
5/3/2011,Sly Fox Gang Aft Agley Scotch Ale,5,
5/3/2011,The Bruery Rugbr¯d,5,
5/3/2011,Yazoo Dos Perros,5,
5/3/2011,Barrier Antagonist ESB,4,
5/3/2011,Barrier Belgian1,4,
6/12/2011,Duvel Tripel Hop,8,
6/12/2011,Grieskirchner J?rger Weisse Hell,8,
6/12/2011,Licher Weizen Hefe Hell,8,
6/12/2011,Piece Wack Job,8,
6/12/2011,Metropolitan Kr‰nkshaft,7,
6/12/2011,New Belgium Lips of Faith - Le Terroir,7,
6/12/2011,Piece Dark n Curvy,7,
6/12/2011,Greene King Abbot Ale (Filtered),6,
6/12/2011,K?stritzer Schwarzbier,6,
6/12/2011,Piece Bellend Bitter,6,
6/12/2011,Piece Dysfunctionale,6,
6/12/2011,Piece Flat Iron Stout,6,
6/12/2011,Bells Oarsman Ale,5,
6/12/2011,Defiant Medusa IPA,5,
6/12/2011,Piece Golden Arm,5,
6/12/2011,Saranac Black Lager,5,
6/12/2011,Captain Lawrence Liquid Gold,4,
6/12/2011,Piece It's Your Fault Alt,4,
6/12/2011,Estrella Damm,3,
6/12/2011,Karlovaƒçko Pivo,3,
6/24/2011,Tr?egs Sunshine Pils,5,
7/16/2011,Birra del Borgo Enkir,10,
7/16/2011,College Green Headless Dog,8,
7/16/2011,Murphys Draught Irish Ale,8,
7/16/2011,Porterhouse Temple Brau,8,
7/16/2011,Pietra Colomba Blanche,7,
7/16/2011,Porterhouse Brainbl·sta,7,
7/16/2011,Porterhouse Chiller,7,
7/16/2011,Porterhouse Red Ale,7,
7/16/2011,Whitewater Belfast Ale,7,
7/16/2011,Whitewater Copperhead Ale,7,
7/16/2011,Brooklyn High Line Elevated Wheat,6,
7/16/2011,Chelsea Alpha 5,6,
7/16/2011,College Green Mollys Chocolate Stout,6,
7/16/2011,Duyck Jenlain AmbrÈe,6,
7/16/2011,Haymarket Six Point Star Golden American Lager,6,
7/16/2011,Messrs Maguire Weiss,6,
7/16/2011,Porterhouse Hersbrucker,6,
7/16/2011,Porterhouse Plain Porter,6,
7/16/2011,Porterhouse TSB,6,
7/16/2011,Porterhouse Wrasslers XXXX Stout,6,
7/16/2011,Smuttynose Star Island Single,6,
7/16/2011,Franciscan Well Rebel Red Ale,5,
7/16/2011,Galway Hooker Irish Pale Ale,5,
7/16/2011,Messrs Maguire Bock,5,
7/16/2011,Messrs Maguire Plain,5,
7/16/2011,Porterhouse Oyster Stout,5,
7/16/2011,Smuttynose Wheat Wine,5,
7/16/2011,Bulmers Original,4,
7/16/2011,Franciscan Well Blarney Blonde,4,
7/16/2011,Kilkenny,4,
7/16/2011,Messrs Maguire Rusty Ale,4,
7/16/2011,Carling Premier,3,
7/16/2011,Great Divide Espresso Oak Aged Yeti Imperial Stout,3,
7/16/2011,Messrs Maguire Haus (Pils) Lager,3,
8/6/2011,Blackstone Hefeweizen,7,
8/6/2011,Blackstone Nut Brown Ale,7,
8/6/2011,Blackstone Red Springs Ale,7,
8/6/2011,Hopf Helle Weiﬂe (Das Original),7,
8/6/2011,Avery Ellies Brown Ale,6,
8/6/2011,Birreria Wanda,6,
8/6/2011,Blackstone American Pale Ale,6,
8/6/2011,Blackstone Chaser Pale,6,
8/6/2011,Birreria Sofia,5,
