When Rated,Beer,Score,Comment
12/30/2007,Squatters Captain Bastards Oatmeal Stout,6,
12/30/2007,Wasatch The Devastator Double Bock,5,
12/30/2007,Red Rock Honey Wheat,4,
12/30/2007,Red Rock Organic Zwickel Bier,4,
1/8/2008,St. Bernardus Blanche (Witbier),9,
1/8/2008,Liefmans de Boomgaard Tropicale,7,
1/9/2008,Vuuve,5,
1/15/2008,Schlafly APA,7,
1/16/2008,Stockyard Oatmeal Stout,8,
1/16/2008,Trinity Red Ale,6,
1/16/2008,Nova Paka Brou Czech 3.5%,5,
1/17/2008,Unibroue Blanche de Chambly,9,
1/17/2008,Trader Joes Vintage Ale 2005,7,
1/20/2008,Smithwicks Ale,6,
1/20/2008,Blue Moon Rising Moon Spring Ale,5,
1/22/2008,JosephsBrau Hopfest,5,
2/1/2008,Schlafly Scotch Ale,8,
2/1/2008,Newcastle Brown Ale,7,
2/10/2008,Delirium Tremens,10,
2/10/2008,Schlafly Hard Cider,7,
2/10/2008,Schlafly Irish Style Extra Stout,7,
2/10/2008,Harbin Beer,6,
2/10/2008,Schlafly Pilsner,6,
2/10/2008,Schlafly Winter ESB,6,
2/10/2008,Boulevard Unfiltered Wheat Beer,5,
2/10/2008,Samuel Adams Cranberry Lambic,4,
2/11/2008,Samuel Adams Old Fezziwig Ale,7,
2/11/2008,Samuel Adams Winter Lager,6,
2/15/2008,Samuel Adams Holiday Porter,8,
2/15/2008,Samuel Smiths Oatmeal Stout,8,
2/15/2008,Samuel Adams Double Bock,7,
2/22/2008,Schlafly Reserve Bourbon Barrel Aged Imperial Stout,8,
2/22/2008,Bells Porter,7,
2/22/2008,Schlafly Imperial Stout,7,
2/22/2008,Schlafly Smoked Porter,5,
2/23/2008,Schlafly Reserve Barleywine Style Ale Aged On Oak,7,
2/23/2008,Kona Fire Rock Pale Ale,4,
2/25/2008,Tennents Lager,6,
2/25/2008,Tennents Super,6,
3/2/2008,Samuel Adams LongShot Weizenbock,7,
3/2/2008,Breckenridge Vanilla Porter,5,
3/2/2008,Samuel Adams LongShot Grape Pale Ale,5,
3/3/2008,Fullers London Pride (Pasteurised),6,
3/4/2008,Rolling Rock Extra Pale,6,
3/4/2008,Bells Amber Ale,5,
3/4/2008,Rolling Rock Light,4,
3/6/2008,Spaten M¸nchner Hell / M¸nchen / Premium,7,
3/6/2008,Shiner 97 Bohemian Black Lager,6,
3/6/2008,Odell 5 Barrel Pale Ale,5,
3/7/2008,Chimay Bleue (Blue) / Grande RÈserve,8,
3/18/2008,Granville Island Lions Winter Ale,8,
3/18/2008,Phillips Longboat Double Chocolate Porter,8,
3/18/2008,Crannog Back Hand of God Stout,7,
3/18/2008,Granville Island Cypress Honey Lager,7,
3/18/2008,Granville Island Killarney Stout,7,
3/18/2008,Granville Island Robson Street Hefeweizen,7,
3/18/2008,Okanagan 1516 Bavarian Lager,7,
3/18/2008,Russell Cream Ale,7,
3/18/2008,Storm Black Plague Stout,7,
3/18/2008,Tree Hophead India Pale Ale,7,
3/18/2008,Granville Island English Bay Pale Ale,6,
3/18/2008,Granville Island Gastown Amber Ale,6,
3/18/2008,Granville Island Island Lager,6,
3/18/2008,Kokanee,6,
3/18/2008,St. Ambroise Apricot Wheat Ale,6,
3/18/2008,Wonder Bar Dirty Girl Pale Lager,6,
3/18/2008,Big Rock Grasshopper Wheat Ale,5,
3/18/2008,Russell Lemon Ale,5,
3/18/2008,Sleeman Honey Brown Lager,5,
3/18/2008,Crannog Red Branch Organic Irish Ale,4,
3/18/2008,Whistler Premium Export Lager,4,
3/22/2008,Shiner Hefeweizen,4,
3/29/2008,Kronenbourg 1664,6,
3/29/2008,Winters Bourbon Cask Ale,6,
4/1/2008,New Belgium Mighty Arrow,5,
4/1/2008,New Belgium 1554 Enlightened Black Ale,4,
4/4/2008,St Peters Cream Stout,8,
4/10/2008,Flying Dog Tire Bite Golden Ale,6,
4/12/2008,Chimay Rouge (Red) / PremiËre,8,
4/12/2008,HeBrew Messiah Bold,8,
4/12/2008,Flying Dog Doggie Style Classic Pale Ale,7,
4/12/2008,Schlafly Raspberry Hefeweizen,5,
4/13/2008,Baltika 6 Porter,7,
4/13/2008,Schlafly Kolsch,6,
4/13/2008,OFallon Wheach,5,
4/15/2008,OFallon Gold,7,
4/15/2008,Boulevard ZÙn,5,
4/15/2008,Samuel Adams Summer Ale,4,
4/16/2008,Corona Extra,5,
4/16/2008,Youngs Double Chocolate Stout,5,
4/16/2008,Labatt Blue,4,
4/27/2008,Schlafly Export IPA,7,
4/28/2008,Boulevard Lunar Ale,7,
4/28/2008,New Belgium Springboard Ale,5,
4/29/2008,Schlafly BiËre de Garde,8,
4/29/2008,Shock Top Belgian White,5,
5/4/2008,Baltika 9 Krepkoe (Strong),8,
5/9/2008,La Trappe Quadrupel,9,
5/10/2008,Unibroue 17,7,
5/11/2008,St. Bernardus Abt 12,10,
5/28/2008,Manav Karma Beer,6,
5/30/2008,Magic Hat #9,7,
5/30/2008,Magic Hat Odd Notion - Irish Red Ale (Spring 08),7,
5/30/2008,Magic Hat Circus Boy,6,
5/30/2008,Magic Hat Hocus Pocus,6,
6/8/2008,Dominion Ale,6,
6/9/2008,Hacker-Pschorr M¸nchener Gold,7,
6/15/2008,Florisgaarden Framboise,9,
6/15/2008,St. Bernardus Tripel,8,
6/15/2008,Tr?egs Troegenator Doublebock,7,
6/21/2008,Dogfish Head 90 Minute Imperial IPA,4,
6/22/2008,New Holland Lucid Kolsch,6,
6/23/2008,Dogfish Head Black and Blue,9,
6/23/2008,Dinkelacker CD-Pils,8,
6/23/2008,Lagunitas Lumpy Gravy,8,
